,person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
19954,Police Officer Gary Neil Priess,"DeWitt Township Police Department, MI","EOW: Tuesday, January 25, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-01-25,2000,False,DeWitt Township Police Department, MI
19955,Deputy Sheriff Larry Todd Cook,"Davidson County Sheriff's Office, NC","EOW: Thursday, January 27, 2000",Cause of Death: Gunfire,Gunfire,2000-01-27,2000,False,Davidson County Sheriff's Office, NC
19956,Sergeant George Ross Dingwall,"Middletown Police Department, CT","EOW: Friday, January 28, 2000",Cause of Death: Vehicle pursuit,Vehicle pursuit,2000-01-28,2000,False,Middletown Police Department, CT
19957,Police Officer Wilfredo Sánchez-Santiago,"San Juan Police Department, PR","EOW: Friday, January 28, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-01-28,2000,False,San Juan Police Department, PR
19958,"Sergeant Cornel Young, Jr.","Providence Police Department, RI","EOW: Friday, January 28, 2000",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2000-01-28,2000,False,Providence Police Department, RI
19959,"Police Officer Russell Myron Miller, Sr.","Chino Police Department, CA","EOW: Tuesday, February 1, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-02-01,2000,False,Chino Police Department, CA
19960,Police Officer George Stefan DeSalvia,"Orlando Police Department, FL","EOW: Thursday, February 3, 2000",Cause of Death: Gunfire,Gunfire,2000-02-03,2000,False,Orlando Police Department, FL
19961,Patrolman Burton James LeBlanc,"Jennings Police Department, LA","EOW: Saturday, February 5, 2000",Cause of Death: Gunfire,Gunfire,2000-02-05,2000,False,Jennings Police Department, LA
19962,Sergeant Bruce Allen Prothero,"Baltimore County Police Department, MD","EOW: Monday, February 7, 2000",Cause of Death: Gunfire,Gunfire,2000-02-07,2000,False,Baltimore County Police Department, MD
19963,Patrolman Darrell William Drehman,"Parson Police Department, TN","EOW: Tuesday, February 8, 2000",Cause of Death: Accidental,Accidental,2000-02-08,2000,False,Parson Police Department, TN
19964,Captain John M. Garlington,"Louisiana Department of Wildlife and Fisheries, LA","EOW: Thursday, February 10, 2000",Cause of Death: Drowned,Drowned,2000-02-10,2000,False,Louisiana Department of Wildlife and Fisheries, LA
19965,Lieutenant Thomas Sumner Rettberg,"Utah Highway Patrol, UT","EOW: Friday, February 11, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-02-11,2000,False,Utah Highway Patrol, UT
19966,Sergeant Gary Grant Scott,"Sylvania Police Department, GA","EOW: Sunday, February 13, 2000",Cause of Death: Vehicle pursuit,Vehicle pursuit,2000-02-13,2000,False,Sylvania Police Department, GA
19967,"Officer Floyd James Fink, Jr.","Arizona Department of Public Safety, AZ","EOW: Friday, February 18, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-02-18,2000,False,Arizona Department of Public Safety, AZ
19968,Deputy Sheriff Charles Floyd Trivitt,"Hughes County Sheriff's Office, OK","EOW: Monday, February 21, 2000",Cause of Death: Automobile accident,Automobile accident,2000-02-21,2000,False,Hughes County Sheriff's Office, OK
19969,Patrol Officer Angela K. Payne,"Knox County Sheriff's Office, TN","EOW: Saturday, February 26, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-02-26,2000,False,Knox County Sheriff's Office, TN
19970,Patrol Officer Michael Edward Deno,"Oakland City Police Department, IN","EOW: Tuesday, February 29, 2000",Cause of Death: Gunfire,Gunfire,2000-02-29,2000,False,Oakland City Police Department, IN
19971,Deputy Sheriff Todd Michael Widman,"Brown County Sheriff's Office, KS","EOW: Wednesday, March 1, 2000",Cause of Death: Gunfire,Gunfire,2000-03-01,2000,False,Brown County Sheriff's Office, KS
19972,Patrolman Ward Lee Canfield,"Minneapolis Police Department, MN","EOW: Thursday, March 2, 2000",Cause of Death: Gunfire,Gunfire,2000-03-02,2000,False,Minneapolis Police Department, MN
19973,Police Officer Jamie Allen Roussey,"Baltimore City Police Department, MD","EOW: Wednesday, March 8, 2000",Cause of Death: Automobile accident,Automobile accident,2000-03-08,2000,False,Baltimore City Police Department, MD
19974,"Patrolman Rupert Holliday Peete, Jr.","Shelby County Sheriff's Office, TN","EOW: Wednesday, March 8, 2000",Cause of Death: Gunfire,Gunfire,2000-03-08,2000,False,Shelby County Sheriff's Office, TN
19975,Detective Randall Ross Kugler,"Miami-Dade Police Department, FL","EOW: Friday, March 10, 2000",Cause of Death: Heart attack,Heart attack,2000-03-10,2000,False,Miami-Dade Police Department, FL
19976,Lieutenant James Roger Haddock,"Osceola County Sheriff's Office, FL","EOW: Sunday, March 12, 2000",Cause of Death: Animal related,Animal related,2000-03-12,2000,False,Osceola County Sheriff's Office, FL
19977,Police Officer Darrell Christopher Cooper,"Louisville Police Department, MS","EOW: Sunday, March 12, 2000",Cause of Death: Automobile accident,Automobile accident,2000-03-12,2000,False,Louisville Police Department, MS
19978,"Police Officer III Louis Villalobos, Jr.","Los Angeles Police Department, CA","EOW: Friday, March 17, 2000",Cause of Death: Training accident,Training accident,2000-03-17,2000,False,Los Angeles Police Department, CA
19979,Deputy Sheriff Ricky Leon Kinchen,"Fulton County Sheriff's Office, GA","EOW: Friday, March 17, 2000",Cause of Death: Gunfire,Gunfire,2000-03-17,2000,False,Fulton County Sheriff's Office, GA
19980,Officer Brett C. Buckmister,"Arizona Department of Public Safety, AZ","EOW: Tuesday, March 21, 2000",Cause of Death: Automobile accident,Automobile accident,2000-03-21,2000,False,Arizona Department of Public Safety, AZ
19981,"Sergeant Nolan Williamson, Sr.","East Feliciana Parish Sheriff's Department, LA","EOW: Friday, March 24, 2000",Cause of Death: Gunfire,Gunfire,2000-03-24,2000,False,East Feliciana Parish Sheriff's Department, LA
19982,Patrolman Oscar Domingo Perez,"San Antonio Police Department, TX","EOW: Friday, March 24, 2000",Cause of Death: Gunfire,Gunfire,2000-03-24,2000,False,San Antonio Police Department, TX
19983,Corrections Officer Raymond J. Curtis,"New York State Department of Correctional Services, NY","EOW: Thursday, March 30, 2000",Cause of Death: Accidental,Accidental,2000-03-30,2000,False,New York State Department of Correctional Services, NY
19984,Lance Corporal David Travis Bailey,"South Carolina Highway Patrol, SC","EOW: Wednesday, April 5, 2000",Cause of Death: Automobile accident,Automobile accident,2000-04-05,2000,False,South Carolina Highway Patrol, SC
19985,Police Officer Jeffrey Lynn Azuar,"Vallejo Police Department, CA","EOW: Wednesday, April 12, 2000",Cause of Death: Gunfire,Gunfire,2000-04-12,2000,False,Vallejo Police Department, CA
19986,Corrections Sergeant Michael Price,"New Jersey Department of Corrections, NJ","EOW: Wednesday, April 19, 2000",Cause of Death: Heart attack,Heart attack,2000-04-19,2000,False,New Jersey Department of Corrections, NJ
19987,Sergeant Timothy Joe Hunt,"Alcoa Police Department, TN","EOW: Thursday, April 20, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-04-20,2000,False,Alcoa Police Department, TN
19988,Police Officer Kevon Malik Gavin,"Baltimore City Police Department, MD","EOW: Friday, April 21, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-04-21,2000,False,Baltimore City Police Department, MD
19989,Officer Jason Wayne Cammack,"Kentucky State Police - Commercial Vehicle Enforcement Division, KY","EOW: Sunday, April 23, 2000",Cause of Death: Automobile accident,Automobile accident,2000-04-23,2000,False,Kentucky State Police - Commercial Vehicle Enforcement Division, KY
19990,Police Officer Daryle Wayne Black,"Long Beach Police Department, CA","EOW: Sunday, April 30, 2000",Cause of Death: Gunfire,Gunfire,2000-04-30,2000,False,Long Beach Police Department, CA
19991,"Captain Herman Eugene Harris, Sr.","Louisiana Department of Corrections, LA","EOW: Thursday, May 4, 2000",Cause of Death: Animal related,Animal related,2000-05-04,2000,False,Louisiana Department of Corrections, LA
19992,Trooper Rick Lee Johnson,"Michigan State Police, MI","EOW: Saturday, May 6, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-05-06,2000,False,Michigan State Police, MI
19993,Park Ranger V Catherine E. Secor,"Washington State Parks and Recreation Commission, WA","EOW: Tuesday, May 9, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-09,2000,False,Washington State Parks and Recreation Commission, WA
19994,Investigator Hugo Fernando Arango,"Doraville Police Department, GA","EOW: Saturday, May 13, 2000",Cause of Death: Gunfire,Gunfire,2000-05-13,2000,False,Doraville Police Department, GA
19995,"Trooper Robert Perez, Jr.","Ohio State Highway Patrol, OH","EOW: Monday, May 15, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-15,2000,False,Ohio State Highway Patrol, OH
19996,Police Officer Tanja Brigitte King,"Orlando Police Department, FL","EOW: Thursday, May 18, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-18,2000,False,Orlando Police Department, FL
19997,Lieutenant James Clark,"Clarke County Sheriff's Office, GA","EOW: Wednesday, May 24, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-24,2000,False,Clarke County Sheriff's Office, GA
19998,Police Officer José R. Ortiz Santiago,"Puerto Rico Police Department, PR","EOW: Friday, May 26, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-26,2000,False,Puerto Rico Police Department, PR
19999,Deputy Sheriff Edward R. Hoffman,"Marinette County Sheriff's Office, WI","EOW: Friday, May 26, 2000",Cause of Death: Heart attack,Heart attack,2000-05-26,2000,False,Marinette County Sheriff's Office, WI
20000,Police Officer David A. Regan,"New York City Police Department, NY","EOW: Sunday, May 28, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-28,2000,False,New York City Police Department, NY
20001,"Police Officer William DeWayne Jones, Sr.","Austin Park Police Department, TX","EOW: Sunday, May 28, 2000",Cause of Death: Gunfire,Gunfire,2000-05-28,2000,False,Austin Park Police Department, TX
20002,Trooper T. Michael Kelly,"New York State Police, NY","EOW: Wednesday, May 31, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-31,2000,False,New York State Police, NY
20003,Trooper Kenneth A. Poormon,"New York State Police, NY","EOW: Wednesday, May 31, 2000",Cause of Death: Automobile accident,Automobile accident,2000-05-31,2000,False,New York State Police, NY
20004,Sergeant Gregory Martin Sears,"Hampshire Police Department, IL","EOW: Thursday, June 1, 2000",Cause of Death: Gunfire,Gunfire,2000-06-01,2000,False,Hampshire Police Department, IL
20005,Sergeant Alane M. Stoffregen,"Chicago Police Department, IL","EOW: Friday, June 2, 2000",Cause of Death: Drowned,Drowned,2000-06-02,2000,False,Chicago Police Department, IL
20006,"Patrol Officer Lewis D. Jones, Jr.","Forrest City Police Department, AR","EOW: Sunday, June 4, 2000",Cause of Death: Gunfire,Gunfire,2000-06-04,2000,False,Forrest City Police Department, AR
20007,Corporal Dennis James Lyden,"Horry County Police Department, SC","EOW: Monday, June 5, 2000",Cause of Death: Gunfire,Gunfire,2000-06-05,2000,False,Horry County Police Department, SC
20008,Sergeant Joe Allen Gamble,"Oklahoma Department of Corrections, OK","EOW: Tuesday, June 6, 2000",Cause of Death: Stabbed,Stabbed,2000-06-06,2000,False,Oklahoma Department of Corrections, OK
20009,Deputy U.S. Marshal Peter Purdy Hillman,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, June 8, 2000",Cause of Death: Automobile accident,Automobile accident,2000-06-08,2000,False,United States Department of Justice - United States Marshals Service, US
20010,Private First Class Frank M. Fidazzo,"Morgantown Police Department, WV","EOW: Saturday, June 10, 2000",Cause of Death: Bicycle accident,Bicycle accident,2000-06-10,2000,False,Morgantown Police Department, WV
20011,Deputy Kelly Joseph Vermeersch,"Huron County Sheriff's Department, MI","EOW: Sunday, June 11, 2000",Cause of Death: Automobile accident,Automobile accident,2000-06-11,2000,False,Huron County Sheriff's Department, MI
20012,"Police Officer Charles Joseph Bohlender, Jr.","Topeka Police Department, KS","EOW: Tuesday, June 13, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-06-13,2000,False,Topeka Police Department, KS
20013,Police Officer Jeff William Howey,"Topeka Police Department, KS","EOW: Tuesday, June 13, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-06-13,2000,False,Topeka Police Department, KS
20014,Corporal James Ronald Courville,"St. Martin Parish Sheriff's Office, LA","EOW: Tuesday, June 13, 2000",Cause of Death: Automobile accident,Automobile accident,2000-06-13,2000,False,St. Martin Parish Sheriff's Office, LA
20015,Deputy Sheriff I Brian Keith Heller,"Worcester County Sheriff's Office, MD","EOW: Wednesday, June 14, 2000",Cause of Death: Automobile accident,Automobile accident,2000-06-14,2000,False,Worcester County Sheriff's Office, MD
20016,Police Officer Jeff Adam Moritz,"Flagstaff Police Department, AZ","EOW: Wednesday, June 21, 2000",Cause of Death: Gunfire,Gunfire,2000-06-21,2000,False,Flagstaff Police Department, AZ
20017,Deputy Sheriff Jason Lee Acton,"Randolph County Sheriff's Department, MO","EOW: Thursday, June 22, 2000",Cause of Death: Gunfire,Gunfire,2000-06-22,2000,False,Randolph County Sheriff's Department, MO
20018,Jail Supervisor Leon Earl Egley,"Randolph County Sheriff's Department, MO","EOW: Thursday, June 22, 2000",Cause of Death: Gunfire,Gunfire,2000-06-22,2000,False,Randolph County Sheriff's Department, MO
20019,Deputy Sheriff Steven Edward Parsons,"Orange County Sheriff's Department, CA","EOW: Saturday, June 24, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-06-24,2000,False,Orange County Sheriff's Department, CA
20020,Police Officer Wayne A. Leon,"Cleveland Police Department, OH","EOW: Sunday, June 25, 2000",Cause of Death: Gunfire,Gunfire,2000-06-25,2000,False,Cleveland Police Department, OH
20021,Police Officer Kelmer Harwin One Feather,"Oglala Sioux Tribal Police, TR","EOW: Saturday, July 1, 2000",Cause of Death: Assault,Assault,2000-07-01,2000,False,Oglala Sioux Tribal Police, TR
20022,Sergeant Melvin Grigley,"Atlanta Police Department, GA","EOW: Sunday, July 2, 2000",Cause of Death: Gunfire,Gunfire,2000-07-02,2000,False,Atlanta Police Department, GA
20023,Police Officer William Harris Williams,"Miami Police Department, FL","EOW: Monday, July 3, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-07-03,2000,False,Miami Police Department, FL
20024,Sheriff William Howard Warren,"Hamilton County Sheriff's Department, IL","EOW: Monday, July 10, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-10,2000,False,Hamilton County Sheriff's Department, IL
20025,Police Officer William Jay Hetrick,"Clay Township Police Department, OH","EOW: Monday, July 10, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-10,2000,False,Clay Township Police Department, OH
20026,"Corporal Ferris Edward Catoe, III","Camden Police Department, SC","EOW: Monday, July 10, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-10,2000,False,Camden Police Department, SC
20027,Deputy Sheriff Gerald Monroe Gibson,"Hawkins County Sheriff's Department, TN","EOW: Thursday, July 13, 2000",Cause of Death: Gunfire,Gunfire,2000-07-13,2000,False,Hawkins County Sheriff's Department, TN
20028,"Postal Inspector Robert Francis Jones, Jr.","United States Postal Inspection Service, US","EOW: Friday, July 14, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-14,2000,False,United States Postal Inspection Service, US
20029,Police Officer Shynelle Marie Mason,"Detroit Police Department, MI","EOW: Friday, July 14, 2000",Cause of Death: Gunfire,Gunfire,2000-07-14,2000,False,Detroit Police Department, MI
20030,Sergeant Todd Jeffrey Stamper,"Crandon Police Department, WI","EOW: Saturday, July 15, 2000",Cause of Death: Gunfire,Gunfire,2000-07-15,2000,False,Crandon Police Department, WI
20031,Chief of Police Joseph E. White,"Rich Square Police Department, NC","EOW: Sunday, July 16, 2000",Cause of Death: Gunfire,Gunfire,2000-07-16,2000,False,Rich Square Police Department, NC
20032,Police Officer John M. Kelly,"New York City Police Department, NY","EOW: Monday, July 17, 2000",Cause of Death: Vehicle pursuit,Vehicle pursuit,2000-07-17,2000,False,New York City Police Department, NY
20033,Police Officer Michael J. Dunman,"Salt Lake City Police Department, UT","EOW: Monday, July 17, 2000",Cause of Death: Bicycle accident,Bicycle accident,2000-07-17,2000,False,Salt Lake City Police Department, UT
20034,Deputy Sheriff Bruce Wayne Evans,"Jackson County Sheriff's Department, MS","EOW: Tuesday, July 18, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-07-18,2000,False,Jackson County Sheriff's Department, MS
20035,Deputy Sheriff Shane Allen Britton,"Cass County Sheriff's Department, MI","EOW: Wednesday, July 19, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-19,2000,False,Cass County Sheriff's Department, MI
20036,Trooper Drew C. Chandler,"Massachusetts State Police, MA","EOW: Friday, July 21, 2000",Cause of Death: Duty related illness,Duty related illness,2000-07-21,2000,False,Massachusetts State Police, MA
20037,"Deputy Sheriff Oscar Clarence Hill, IV","Harris County Sheriff's Office, TX","EOW: Saturday, July 22, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-07-22,2000,False,Harris County Sheriff's Office, TX
20038,Patrolman Justin Cain,"LaGrange Police Department, GA","EOW: Sunday, July 23, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-23,2000,False,LaGrange Police Department, GA
20039,Police Officer Allen Brad Rogers,"Atlanta Police Department, GA","EOW: Monday, July 24, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-07-24,2000,False,Atlanta Police Department, GA
20040,Trooper Lynn McCarthy Ross,"Tennessee Highway Patrol, TN","EOW: Wednesday, July 26, 2000",Cause of Death: Automobile accident,Automobile accident,2000-07-26,2000,False,Tennessee Highway Patrol, TN
20041,Deputy Sheriff Wallace Edward Davis,"Clallam County Sheriff's Department, WA","EOW: Saturday, August 5, 2000",Cause of Death: Gunfire,Gunfire,2000-08-05,2000,False,Clallam County Sheriff's Department, WA
20042,Trooper Randall Wade Vetter,"Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Monday, August 7, 2000",Cause of Death: Gunfire,Gunfire,2000-08-07,2000,False,Texas Department of Public Safety - Texas Highway Patrol, TX
20043,"Police Officer Robert J. Stanze, II","St. Louis Metropolitan Police Department, MO","EOW: Tuesday, August 8, 2000",Cause of Death: Gunfire,Gunfire,2000-08-08,2000,False,St. Louis Metropolitan Police Department, MO
20044,Military Police Officer Brian Thomas Gleason,"United States Army Military Police Corps, US","EOW: Wednesday, August 9, 2000",Cause of Death: Automobile accident,Automobile accident,2000-08-09,2000,False,United States Army Military Police Corps, US
20045,Police Officer Richard George Magan,"Fall River Police Department, MA","EOW: Friday, August 11, 2000",Cause of Death: Fall,Fall,2000-08-11,2000,False,Fall River Police Department, MA
20046,Deputy Sheriff Sung Hui Bang,"Milwaukee County Sheriff's Office, WI","EOW: Thursday, August 17, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-08-17,2000,False,Milwaukee County Sheriff's Office, WI
20047,Deputy Sheriff I Ralph Edward Zylka,"Milwaukee County Sheriff's Office, WI","EOW: Thursday, August 17, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-08-17,2000,False,Milwaukee County Sheriff's Office, WI
20048,"Senior Corporal Harold Franklin Baird, Jr.","Dallas Police Department, TX","EOW: Saturday, August 19, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-08-19,2000,False,Dallas Police Department, TX
20049,Sergeant Carlton Daniel Jenkins,"Camden County Sheriff's Office, GA","EOW: Monday, August 28, 2000",Cause of Death: Gunfire,Gunfire,2000-08-28,2000,False,Camden County Sheriff's Office, GA
20050,"Detective Thomas F. Henry, Sr.","Bel-Ridge Police Department, MO","EOW: Tuesday, August 29, 2000",Cause of Death: Heart attack,Heart attack,2000-08-29,2000,False,Bel-Ridge Police Department, MO
20051,"Corporal Theodore Joseph ""Ted"" Foss","Minnesota State Patrol, MN","EOW: Thursday, August 31, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-08-31,2000,False,Minnesota State Patrol, MN
20052,Police Officer Jeffrey Dean Rominger,"Oklahoma City Police Department, OK","EOW: Thursday, August 31, 2000",Cause of Death: Vehicle pursuit,Vehicle pursuit,2000-08-31,2000,False,Oklahoma City Police Department, OK
20053,Trooper Matthew Scott Evans,"Oklahoma Highway Patrol, OK","EOW: Thursday, August 31, 2000",Cause of Death: Vehicle pursuit,Vehicle pursuit,2000-08-31,2000,False,Oklahoma Highway Patrol, OK
20054,Police Officer Kevin Curtis Crayon,"Cincinnati Police Department, OH","EOW: Friday, September 1, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-09-01,2000,False,Cincinnati Police Department, OH
20055,Police Officer Dennis Michael Licata,"Denver Police Department, CO","EOW: Wednesday, September 6, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-09-06,2000,False,Denver Police Department, CO
20056,Assistant Chief Emma Mae Horton,"Goodman Police Department, MS","EOW: Friday, September 8, 2000",Cause of Death: Gunfire,Gunfire,2000-09-08,2000,False,Goodman Police Department, MS
20057,Officer John A. Ayello,"Hamburg Borough Police Department, PA","EOW: Friday, September 8, 2000",Cause of Death: Heart attack,Heart attack,2000-09-08,2000,False,Hamburg Borough Police Department, PA
20058,Deputy Sheriff William G. Giacomo,"Nicholas County Sheriff's Department, WV","EOW: Monday, September 11, 2000",Cause of Death: Gunfire,Gunfire,2000-09-11,2000,False,Nicholas County Sheriff's Department, WV
20059,Senior Customs Inspector Richard Anthony Forde,"United States Department of the Treasury - Customs Service, US","EOW: Tuesday, September 12, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-09-12,2000,False,United States Department of the Treasury - Customs Service, US
20060,Deputy Sheriff William Douglas Bowman,"Clackamas County Sheriff's Department, OR","EOW: Tuesday, September 12, 2000",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2000-09-12,2000,False,Clackamas County Sheriff's Department, OR
20061,Detention Officer Alvin Sherman Glenn,"Richland County Detention Center, SC","EOW: Sunday, September 17, 2000",Cause of Death: Assault,Assault,2000-09-17,2000,False,Richland County Detention Center, SC
20062,Officer David Duane Irwin,"California Highway Patrol, CA","EOW: Monday, September 18, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-09-18,2000,False,California Highway Patrol, CA
20063,Police Officer II Robert Joe Mata,"Los Angeles Police Department, CA","EOW: Tuesday, September 19, 2000",Cause of Death: Automobile accident,Automobile accident,2000-09-19,2000,False,Los Angeles Police Department, CA
20064,Deputy Sheriff Allen Myers,"Edgefield County Sheriff's Department, SC","EOW: Tuesday, September 19, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-09-19,2000,False,Edgefield County Sheriff's Department, SC
20065,Police Officer Jerry Keith Stowe,"Houston Police Department, TX","EOW: Wednesday, September 20, 2000",Cause of Death: Assault,Assault,2000-09-20,2000,False,Houston Police Department, TX
20066,Sergeant Daniel Joseph McCarthy,"Medfield Police Department, MA","EOW: Thursday, September 21, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-09-21,2000,False,Medfield Police Department, MA
20067,Police Officer Jose M. Ortiz,"Philadelphia Police Department, PA","EOW: Thursday, September 21, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-09-21,2000,False,Philadelphia Police Department, PA
20068,Police Officer Daniel Stanley MacClary,"Hendersonville Police Department, TN","EOW: Wednesday, September 27, 2000",Cause of Death: Motorcycle accident,Motorcycle accident,2000-09-27,2000,False,Hendersonville Police Department, TN
20069,Police Officer William Ronald Toney,"Beech Grove Police Department, IN","EOW: Friday, September 29, 2000",Cause of Death: Gunfire,Gunfire,2000-09-29,2000,False,Beech Grove Police Department, IN
20070,Police Officer Bradley W. Matteson,"Fort Wayne Police Department, IN","EOW: Thursday, October 5, 2000",Cause of Death: Automobile accident,Automobile accident,2000-10-05,2000,False,Fort Wayne Police Department, IN
20071,Police Officer Richard Cartell Alexander,"Chattanooga Police Department, TN","EOW: Thursday, October 5, 2000",Cause of Death: Automobile accident,Automobile accident,2000-10-05,2000,False,Chattanooga Police Department, TN
20072,Lieutenant John D. Dykowski,"Taylor Police Department, TX","EOW: Thursday, October 5, 2000",Cause of Death: Heart attack,Heart attack,2000-10-05,2000,False,Taylor Police Department, TX
20073,Sergeant Christopher Michael Wouters,"Warren Police Department, MI","EOW: Wednesday, October 11, 2000",Cause of Death: Gunfire,Gunfire,2000-10-11,2000,False,Warren Police Department, MI
20074,Police Officer Gerald Silvestri,"San Bernardino Police Department, CA","EOW: Saturday, October 14, 2000",Cause of Death: Automobile accident,Automobile accident,2000-10-14,2000,False,San Bernardino Police Department, CA
20075,Police Officer Kevin Joseph McCarthy,"Baltimore City Police Department, MD","EOW: Saturday, October 14, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-10-14,2000,False,Baltimore City Police Department, MD
20076,Sergeant John David Platt,"Baltimore City Police Department, MD","EOW: Saturday, October 14, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-10-14,2000,False,Baltimore City Police Department, MD
20077,Lieutenant Kenneth Dechen,"West Deptford Police Department, NJ","EOW: Wednesday, October 18, 2000",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2000-10-18,2000,False,West Deptford Police Department, NJ
20078,"Police Officer John W. Stem, Sr.","Baltimore County Police Department, MD","EOW: Thursday, October 19, 2000",Cause of Death: Gunfire,Gunfire,2000-10-19,2000,False,Baltimore County Police Department, MD
20079,Deputy Jeffrey Allen Matheny,"Craven County Sheriff's Office, NC","EOW: Saturday, October 21, 2000",Cause of Death: Vehicular assault,Vehicular assault,2000-10-21,2000,False,Craven County Sheriff's Office, NC
20080,Deputy Sheriff John Charles Risley,"Harris County Sheriff's Office, TX","EOW: Monday, October 23, 2000",Cause of Death: Gunfire,Gunfire,2000-10-23,2000,False,Harris County Sheriff's Office, TX
